gene_name	biotype_99	biotype_110	status
GTF2IRD1P1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
GUSBP1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
GUSBP2	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
H2BP1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
HERC2P3	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
HERC2P7	unprocessed_pseudogene	lncRNA,unprocessed_pseudogene	GAIN
HERC2P9	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
HLA-DRB6	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
HLA-L	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
HLA-V	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
HMGB1P1	processed_pseudogene	protein_coding	GAIN
HSD17B7P2	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
HSFY1P1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
IFNL4	polymorphic_pseudogene	protein_coding	GAIN
INTS4P1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
KIR2DS4	polymorphic_pseudogene	protein_coding	GAIN
KLHL30-AS1	TEC	lncRNA	GAIN
